Dimensions: 237 60
X Y
6.000000 0.000000
5.736842 0.000000
5.473684 0.000000
5.210526 0.000000
4.947368 0.000000
4.684211 0.000000
4.421053 0.000000
4.157895 0.000000
3.894737 0.000000
3.631579 0.000000
3.368421 0.000000
3.105263 0.000000
2.842105 0.000000
2.578947 0.000000
2.315789 0.000000
2.052632 0.000000
1.789474 0.000000
1.526316 0.000000
1.263158 0.000000
0.999833 -0.001249
0.999577 -0.001250
0.998808 -0.001255
0.997528 -0.001262
0.995738 -0.001273
0.993440 -0.001286
0.990636 -0.001304
0.987330 -0.001324
0.983526 -0.001349
0.979227 -0.001378
0.974439 -0.001412
0.969166 -0.001451
0.963416 -0.001496
0.957193 -0.001546
0.950506 -0.001604
0.943361 -0.001669
0.935766 -0.001742
0.927730 -0.001824
0.919262 -0.001916
0.910370 -0.002018
0.901065 -0.002132
0.891356 -0.002259
0.881254 -0.002399
0.870770 -0.002554
0.859915 -0.002724
0.848700 -0.002911
0.837139 -0.003115
0.825242 -0.003339
0.813023 -0.003581
0.800494 -0.003845
0.787669 -0.004129
0.774560 -0.004436
0.761183 -0.004766
0.747549 -0.005119
0.733675 -0.005496
0.719573 -0.005897
0.705259 -0.006322
0.690748 -0.006771
0.676053 -0.007244
0.661190 -0.007741
0.646174 -0.008260
0.631021 -0.008800
0.615745 -0.009361
0.600362 -0.009942
0.584887 -0.010539
0.569336 -0.011153
0.553723 -0.011779
0.538066 -0.012416
0.522378 -0.013062
0.506676 -0.013712
0.490974 -0.014365
0.475288 -0.015016
0.459634 -0.015662
0.444025 -0.016299
0.428478 -0.016924
0.413008 -0.017532
0.397667 -0.018120
0.382645 -0.018724
0.367745 -0.019360
0.352980 -0.020024
0.338362 -0.020708
0.323905 -0.021406
0.309620 -0.022112
0.295519 -0.022818
0.281615 -0.023518
0.267919 -0.024204
0.254443 -0.024871
0.241199 -0.025511
0.228197 -0.026117
0.215450 -0.026683
0.202967 -0.027201
0.190760 -0.027666
0.178840 -0.028072
0.167217 -0.028411
0.155902 -0.028679
0.144906 -0.028869
0.134237 -0.028977
0.123908 -0.028996
0.113927 -0.028923
0.104304 -0.028752
0.095048 -0.028479
0.086170 -0.028100
0.077679 -0.027611
0.069583 -0.027009
0.061891 -0.026290
0.054612 -0.025451
0.047753 -0.024489
0.041323 -0.023403
0.035330 -0.022189
0.029780 -0.020845
0.024681 -0.019371
0.020039 -0.017763
0.015860 -0.016022
0.012150 -0.014145
0.008914 -0.012131
0.006157 -0.009981
0.003884 -0.007693
0.002097 -0.005267
0.000802 -0.002703
0.000000 0.000000
-0.000298 0.002803
-0.000084 0.005669
0.000644 0.008596
0.001888 0.011582
0.003647 0.014624
0.005921 0.017718
0.008710 0.020860
0.012012 0.024045
0.015826 0.027267
0.020149 0.030520
0.024977 0.033796
0.030309 0.037088
0.036138 0.040388
0.042462 0.043688
0.049274 0.046978
0.056568 0.050250
0.064338 0.053493
0.072576 0.056699
0.081275 0.059857
0.090426 0.062958
0.100020 0.065991
0.110048 0.068946
0.120498 0.071813
0.131360 0.074582
0.142623 0.077244
0.154273 0.079790
0.166299 0.082209
0.178687 0.084494
0.191423 0.086636
0.204494 0.088627
0.217883 0.090459
0.231576 0.092126
0.245557 0.093621
0.259810 0.094938
0.274318 0.096072
0.289066 0.097017
0.304035 0.097771
0.319209 0.098329
0.334570 0.098690
0.350100 0.098850
0.365781 0.098808
0.381596 0.098564
0.397527 0.098117
0.413344 0.097494
0.429207 0.096739
0.445136 0.095858
0.461116 0.094852
0.477130 0.093725
0.493160 0.092481
0.509190 0.091123
0.525204 0.089656
0.541184 0.088084
0.557115 0.086411
0.572979 0.084643
0.588761 0.082783
0.604445 0.080838
0.620014 0.078812
0.635453 0.076711
0.650746 0.074541
0.665878 0.072307
0.680833 0.070015
0.695597 0.067671
0.710156 0.065281
0.724493 0.062851
0.738596 0.060388
0.752451 0.057897
0.766043 0.055385
0.779360 0.052859
0.792388 0.050324
0.805116 0.047789
0.817530 0.045258
0.829619 0.042739
0.841371 0.040239
0.852774 0.037763
0.863819 0.035319
0.874495 0.032914
0.884791 0.030552
0.894697 0.028242
0.904206 0.025990
0.913307 0.023801
0.921992 0.021682
0.930253 0.019639
0.938083 0.017678
0.945475 0.015804
0.952421 0.014024
0.958915 0.012341
0.964952 0.010762
0.970526 0.009290
0.975633 0.007931
0.980266 0.006688
0.984423 0.005566
0.988100 0.004567
0.991293 0.003695
0.993999 0.002952
0.996217 0.002342
0.997944 0.001865
0.999178 0.001523
0.999919 0.001318
1.000167 0.001249
1.263158 0.000000
1.526316 0.000000
1.789474 0.000000
2.052632 0.000000
2.315789 0.000000
2.578947 0.000000
2.842105 0.000000
3.105263 0.000000
3.368421 0.000000
3.631579 0.000000
3.894737 0.000000
4.157895 0.000000
4.421053 0.000000
4.684211 0.000000
4.947368 0.000000
5.210526 0.000000
5.473684 0.000000
5.736842 0.000000
6.000000 0.000000
6.000000 -0.000487
5.736842 -0.000487
5.473684 -0.000487
5.210526 -0.000487
4.947368 -0.000487
4.684211 -0.000487
4.421053 -0.000487
4.157895 -0.000487
3.894737 -0.000487
3.631579 -0.000487
3.368421 -0.000487
3.105263 -0.000487
2.842105 -0.000487
2.578947 -0.000487
2.315789 -0.000487
2.052632 -0.000487
1.789474 -0.000487
1.526316 -0.000487
1.263158 -0.000487
0.999833 -0.001736
0.999569 -0.001737
0.998793 -0.001742
0.997505 -0.001749
0.995708 -0.001759
0.993402 -0.001772
0.990591 -0.001788
0.987277 -0.001808
0.983466 -0.001832
0.979160 -0.001860
0.974364 -0.001893
0.969085 -0.001931
0.963327 -0.001974
0.957098 -0.002023
0.950403 -0.002079
0.943251 -0.002142
0.935650 -0.002213
0.927607 -0.002293
0.919132 -0.002383
0.910234 -0.002483
0.900922 -0.002595
0.891207 -0.002719
0.881099 -0.002857
0.870608 -0.003009
0.859747 -0.003176
0.848527 -0.003360
0.836959 -0.003561
0.825057 -0.003781
0.812832 -0.004021
0.800297 -0.004281
0.787466 -0.004562
0.774352 -0.004865
0.760969 -0.005191
0.747330 -0.005540
0.733451 -0.005913
0.719344 -0.006310
0.705025 -0.006731
0.690508 -0.007176
0.675808 -0.007645
0.660941 -0.008137
0.645920 -0.008651
0.630762 -0.009187
0.615481 -0.009743
0.600094 -0.010319
0.584614 -0.010912
0.569059 -0.011520
0.553442 -0.012141
0.537780 -0.012773
0.522089 -0.013413
0.506382 -0.014058
0.490676 -0.014705
0.474987 -0.015350
0.459328 -0.015991
0.443716 -0.016623
0.428166 -0.017242
0.412692 -0.017844
0.397347 -0.018426
0.382322 -0.019023
0.367419 -0.019653
0.352651 -0.020311
0.338030 -0.020988
0.323570 -0.021680
0.309282 -0.022379
0.295178 -0.023079
0.281271 -0.023772
0.267573 -0.024452
0.254094 -0.025112
0.240847 -0.025745
0.227843 -0.026344
0.215093 -0.026903
0.202608 -0.027415
0.190399 -0.027873
0.178477 -0.028271
0.166852 -0.028604
0.155535 -0.028864
0.144537 -0.029048
0.133867 -0.029148
0.123535 -0.029160
0.113552 -0.029079
0.103928 -0.028901
0.094671 -0.028621
0.085792 -0.028235
0.077299 -0.027738
0.069202 -0.027129
0.061509 -0.026402
0.054229 -0.025556
0.047369 -0.024587
0.040939 -0.023493
0.034944 -0.022271
0.029394 -0.020920
0.024294 -0.019438
0.019651 -0.017823
0.015472 -0.016074
0.011761 -0.014190
0.008525 -0.012169
0.005768 -0.010011
0.003494 -0.007715
0.001708 -0.005282
0.000412 -0.002710
-0.000390 0.000000
-0.000688 0.002811
-0.000474 0.005684
0.000255 0.008618
0.001499 0.011612
0.003258 0.014661
0.005533 0.017763
0.008323 0.020912
0.011625 0.024105
0.015440 0.027334
0.019763 0.030594
0.024593 0.033877
0.029925 0.037176
0.035755 0.040484
0.042080 0.043791
0.048893 0.047088
0.056188 0.050367
0.063959 0.053618
0.072199 0.056831
0.080899 0.059996
